run_id,workload,router_policy,cache_model,ttft_slo_ms,requests_under_slo,goodput_under_slo,quality_adjusted_goodput,mean_quality
low_overlap_control-cache_aware-activated_lora-1781440200681,low_overlap_control,cache_aware,activated_lora,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-cache_aware-activated_lora-1781440200681,low_overlap_control,cache_aware,activated_lora,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-activated_lora-1781440200681,low_overlap_control,cache_aware,activated_lora,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-activated_lora-1781440200681,low_overlap_control,cache_aware,activated_lora,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-base_shared-1781440196585,low_overlap_control,cache_aware,base_shared,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-cache_aware-base_shared-1781440196585,low_overlap_control,cache_aware,base_shared,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-cache_aware-base_shared-1781440196585,low_overlap_control,cache_aware,base_shared,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-base_shared-1781440196585,low_overlap_control,cache_aware,base_shared,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-base_shared-1781440196585,low_overlap_control,cache_aware,base_shared,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-copy_on_write-1781440204782,low_overlap_control,cache_aware,copy_on_write,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-cache_aware-copy_on_write-1781440204782,low_overlap_control,cache_aware,copy_on_write,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-cache_aware-copy_on_write-1781440204782,low_overlap_control,cache_aware,copy_on_write,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-copy_on_write-1781440204782,low_overlap_control,cache_aware,copy_on_write,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-copy_on_write-1781440204782,low_overlap_control,cache_aware,copy_on_write,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-standard_lora-1781440192619,low_overlap_control,cache_aware,standard_lora,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-cache_aware-standard_lora-1781440192619,low_overlap_control,cache_aware,standard_lora,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-cache_aware-standard_lora-1781440192619,low_overlap_control,cache_aware,standard_lora,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-standard_lora-1781440192619,low_overlap_control,cache_aware,standard_lora,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-cache_aware-standard_lora-1781440192619,low_overlap_control,cache_aware,standard_lora,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-activated_lora-1781440217687,low_overlap_control,oracle,activated_lora,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-activated_lora-1781440217687,low_overlap_control,oracle,activated_lora,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-activated_lora-1781440217687,low_overlap_control,oracle,activated_lora,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-activated_lora-1781440217687,low_overlap_control,oracle,activated_lora,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-activated_lora-1781440217687,low_overlap_control,oracle,activated_lora,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-base_shared-1781440213283,low_overlap_control,oracle,base_shared,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-base_shared-1781440213283,low_overlap_control,oracle,base_shared,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-base_shared-1781440213283,low_overlap_control,oracle,base_shared,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-base_shared-1781440213283,low_overlap_control,oracle,base_shared,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-base_shared-1781440213283,low_overlap_control,oracle,base_shared,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-copy_on_write-1781440222117,low_overlap_control,oracle,copy_on_write,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-copy_on_write-1781440222117,low_overlap_control,oracle,copy_on_write,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-copy_on_write-1781440222117,low_overlap_control,oracle,copy_on_write,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-copy_on_write-1781440222117,low_overlap_control,oracle,copy_on_write,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-copy_on_write-1781440222117,low_overlap_control,oracle,copy_on_write,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-standard_lora-1781440209006,low_overlap_control,oracle,standard_lora,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-standard_lora-1781440209006,low_overlap_control,oracle,standard_lora,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-oracle-standard_lora-1781440209006,low_overlap_control,oracle,standard_lora,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-standard_lora-1781440209006,low_overlap_control,oracle,standard_lora,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-oracle-standard_lora-1781440209006,low_overlap_control,oracle,standard_lora,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-random-activated_lora-1781440158328,low_overlap_control,random,activated_lora,25.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-activated_lora-1781440158328,low_overlap_control,random,activated_lora,50.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-activated_lora-1781440158328,low_overlap_control,random,activated_lora,100.0,48,9.519728623072028,6.148987240466299,0.6459204336522372
low_overlap_control-random-activated_lora-1781440158328,low_overlap_control,random,activated_lora,150.0,48,9.519728623072028,6.148987240466299,0.6459204336522372
low_overlap_control-random-activated_lora-1781440158328,low_overlap_control,random,activated_lora,250.0,48,9.519728623072028,6.148987240466299,0.6459204336522372
low_overlap_control-random-base_shared-1781440155491,low_overlap_control,random,base_shared,25.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-base_shared-1781440155491,low_overlap_control,random,base_shared,50.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-base_shared-1781440155491,low_overlap_control,random,base_shared,100.0,48,9.599691776073717,6.20063707492935,0.6459204336522372
low_overlap_control-random-base_shared-1781440155491,low_overlap_control,random,base_shared,150.0,48,9.599691776073717,6.20063707492935,0.6459204336522372
low_overlap_control-random-base_shared-1781440155491,low_overlap_control,random,base_shared,250.0,48,9.599691776073717,6.20063707492935,0.6459204336522372
low_overlap_control-random-copy_on_write-1781440161314,low_overlap_control,random,copy_on_write,25.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-copy_on_write-1781440161314,low_overlap_control,random,copy_on_write,50.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-copy_on_write-1781440161314,low_overlap_control,random,copy_on_write,100.0,48,9.599691776073717,6.20063707492935,0.6459204336522372
low_overlap_control-random-copy_on_write-1781440161314,low_overlap_control,random,copy_on_write,150.0,48,9.599691776073717,6.20063707492935,0.6459204336522372
low_overlap_control-random-copy_on_write-1781440161314,low_overlap_control,random,copy_on_write,250.0,48,9.599691776073717,6.20063707492935,0.6459204336522372
low_overlap_control-random-standard_lora-1781440152789,low_overlap_control,random,standard_lora,25.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-standard_lora-1781440152789,low_overlap_control,random,standard_lora,50.0,0,0.0,0.0,0.6459204336522372
low_overlap_control-random-standard_lora-1781440152789,low_overlap_control,random,standard_lora,100.0,48,9.519728623072028,6.148987240466299,0.6459204336522372
low_overlap_control-random-standard_lora-1781440152789,low_overlap_control,random,standard_lora,150.0,48,9.519728623072028,6.148987240466299,0.6459204336522372
low_overlap_control-random-standard_lora-1781440152789,low_overlap_control,random,standard_lora,250.0,48,9.519728623072028,6.148987240466299,0.6459204336522372
low_overlap_control-semantic-activated_lora-1781440171084,low_overlap_control,semantic,activated_lora,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-activated_lora-1781440171084,low_overlap_control,semantic,activated_lora,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-activated_lora-1781440171084,low_overlap_control,semantic,activated_lora,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-activated_lora-1781440171084,low_overlap_control,semantic,activated_lora,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-activated_lora-1781440171084,low_overlap_control,semantic,activated_lora,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-base_shared-1781440167730,low_overlap_control,semantic,base_shared,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-base_shared-1781440167730,low_overlap_control,semantic,base_shared,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-base_shared-1781440167730,low_overlap_control,semantic,base_shared,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-base_shared-1781440167730,low_overlap_control,semantic,base_shared,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-base_shared-1781440167730,low_overlap_control,semantic,base_shared,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-copy_on_write-1781440174418,low_overlap_control,semantic,copy_on_write,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-copy_on_write-1781440174418,low_overlap_control,semantic,copy_on_write,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-copy_on_write-1781440174418,low_overlap_control,semantic,copy_on_write,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-copy_on_write-1781440174418,low_overlap_control,semantic,copy_on_write,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-copy_on_write-1781440174418,low_overlap_control,semantic,copy_on_write,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-standard_lora-1781440164447,low_overlap_control,semantic,standard_lora,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-standard_lora-1781440164447,low_overlap_control,semantic,standard_lora,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-semantic-standard_lora-1781440164447,low_overlap_control,semantic,standard_lora,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
