run_id,request_count,router_policy,cache_model,workload,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_itl_ms,mean_tpot_ms,request_throughput,token_throughput,goodput_under_slo,mean_quality,quality_adjusted_goodput,cache_hit_rate,cached_prompt_token_ratio,fragmentation_index,memory_token_footprint,eviction_count,evicted_tokens,adapter_distribution,adapter_strategy,router_cache_pair
mixed_tasks_same_doc-multitask-standard_lora-seed11-1781443326233,48,multitask,standard_lora,mixed_tasks_same_doc,16.714883504758543,14.730345788907655,19.749905708959886,72.81462898475985,47.739883504758545,44.29123601943422,68.73284766215505,117.6619101137011,1.2,1.9210318630028977,20.946846254878764,541.5632542146781,20.946846254878764,0.803763974983811,16.836320409196112,0.9530791788856305,0.9065550906555091,1.0,804,0,0,{'multitask': 48},specialist-adapter,multitask / standard_lora
agent_session-oracle-copy_on_write-seed11-1781443390360,48,oracle,copy_on_write,agent_session,21.30119895788533,20.727445943227533,23.239519108305117,51.40439651648438,55.50119895788532,54.66741742091187,72.1132098011467,95.34243404163028,1.2,2.0636852986197805,18.01762878598004,513.5024204004312,18.01762878598004,0.9230988193068884,16.63205185904798,0.9287833827893175,0.7854454203262233,1.0526315789473684,1440,0,0,"{'qa': 16, 'json': 16, 'summary': 16}",copy-on-write-delta,oracle / copy_on_write
prompt_layout_ablation-semantic-standard_lora-seed17-1781443509277,48,semantic,standard_lora,prompt_layout_ablation,43.671608438057035,67.0245460896439,71.90334903962332,72.54523785922139,80.07160843805704,88.95573059714366,120.73644597697569,123.18334284917412,1.2,2.792151683394273,12.488821187769627,378.827576029012,12.488821187769627,0.9280930953849774,11.590788713866603,0.9097744360902256,0.46360153256704983,1.0,4480,0,0,"{'qa': 24, 'json': 24}",specialist-adapter,semantic / standard_lora
prompt_layout_ablation-oracle-activated_lora-seed17-1781443636105,48,oracle,activated_lora,prompt_layout_ablation,43.51119177139037,67.0245460896439,71.90334903962332,72.54523785922139,79.91119177139036,88.95573059714366,120.73644597697569,123.18334284917412,1.2,2.786439763992973,12.51389170694383,379.58804844396286,12.51389170694383,0.9280930953849774,11.614056489609899,0.9133574007220217,0.46623563218390807,1.0,4458,0,0,"{'qa': 24, 'json': 24}",activated-late-specialization,oracle / activated_lora
mixed_tasks_same_doc-oracle-copy_on_write-seed11-1781443643654,48,oracle,copy_on_write,mixed_tasks_same_doc,16.841677671030403,14.614595739230676,18.698714147620038,74.65930385952872,50.0166776710304,48.157540192962585,69.245798677225,125.05930385952871,1.2,1.8687987771273884,19.993331156003567,552.7323009170153,19.993331156003567,0.9098928913058059,18.191789892370537,0.9530791788856305,0.9065550906555091,1.0161691542288558,817,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",copy-on-write-delta,oracle / copy_on_write
agent_session-random-standard_lora-seed11-1781443302119,48,random,standard_lora,agent_session,29.636403037445906,24.28319927878752,55.996552525211925,67.84631205057259,62.11140303744591,62.72735954265001,94.3250805239804,113.4463120505726,1.2,2.4894521604761963,16.100103219325394,435.7090433729935,16.100103219325394,0.6564728360503742,10.569280421094302,0.90715667311412,0.588456712672522,1.9181286549707601,2624,0,0,"{'code': 12, 'multitask': 13, 'json': 9, 'qa': 10, 'summary': 4}",specialist-adapter,random / standard_lora
mixed_tasks_same_doc-oracle-standard_lora-seed11-1781443473850,64,oracle,standard_lora,mixed_tasks_same_doc,80.72708348284655,80.58035906146789,83.445798677225,83.7381368420315,113.22083348284654,113.28247307837339,131.83735776252513,132.53335213811246,1.2,4.679453011794416,8.832296753507864,239.16203552858013,8.832296753507864,0.9123983749959312,8.058573205382414,0.0,0.0,0.5795454545454546,510,1551,12242,"{'qa': 16, 'json': 16, 'summary': 16, 'code': 16}",specialist-adapter,oracle / standard_lora
mixed_tasks_same_doc-oracle-copy_on_write-seed17-1781443496901,64,oracle,copy_on_write,mixed_tasks_same_doc,16.00911650322614,13.934259003936404,19.39846883065753,80.28082516078703,48.746616503226136,47.96890943442094,65.37909879797365,100.68082516078704,1.2,1.867785689494326,20.514244305218973,559.6542274517551,20.514244305218973,0.9109519884322491,18.687491641024167,0.958656330749354,0.93099121706399,0.5886363636363636,518,64,375,"{'qa': 16, 'json': 16, 'summary': 16, 'code': 16}",copy-on-write-delta,oracle / copy_on_write
shared_doc_qa-multitask-activated_lora-seed11-1781443430903,64,multitask,activated_lora,shared_doc_qa,79.59097956520499,79.5757025702984,82.21898153424523,82.32744666913462,114.01597956520499,115.58305849271095,130.04013353191664,131.7189471370203,1.2,4.3261467258689,8.770700421234434,251.60946833416284,8.770700421234434,0.818134465928226,7.1756123049431,0.0,0.0,0.4276094276094276,508,1503,11780,{'multitask': 64},activated-late-specialization,multitask / activated_lora
mixed_tasks_same_doc-semantic-base_shared-seed11-1781443316126,48,semantic,base_shared,mixed_tasks_same_doc,16.841677671030403,14.614595739230676,18.698714147620038,74.65930385952872,50.0166776710304,48.157540192962585,69.245798677225,125.05930385952871,1.2,1.8687987771273884,19.993331156003567,552.7323009170153,19.993331156003567,0.9098928913058059,18.191789892370537,0.9530791788856305,0.9065550906555091,1.0,804,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",multitask-or-shared-base,semantic / base_shared
mixed_tasks_same_doc-oracle-activated_lora-seed11-1781443630085,48,oracle,activated_lora,mixed_tasks_same_doc,16.506261004363736,14.264595739230678,18.348714147620036,74.65930385952872,49.68126100436373,47.80754019296259,68.895798677225,125.05930385952871,1.2,1.8545904547239973,20.128313569016804,556.4640022101104,20.128313569016804,0.9098928913058059,18.314609430422585,0.9550982226379794,0.9119014411901442,1.0,758,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",activated-late-specialization,oracle / activated_lora
shared_doc_qa-random-activated_lora-seed11-1781443306463,48,random,activated_lora,shared_doc_qa,18.651079519110137,13.85668340231242,72.47646151670939,73.46467069852264,49.85107951911014,47.376506086903376,98.87646151670938,119.93150248474107,1.2,2.0337407112025745,20.059746140836438,521.5533996617474,20.059746140836438,0.6548108927172066,13.135340278161648,0.9524281466798811,0.8735795454545454,1.0642570281124497,1060,0,0,"{'code': 12, 'multitask': 13, 'json': 9, 'qa': 10, 'summary': 4}",activated-late-specialization,random / activated_lora
shared_doc_qa-cache_aware-standard_lora-seed17-1781443573944,48,cache_aware,standard_lora,shared_doc_qa,18.618972598439758,14.34332179248198,70.62925201993755,75.59760031082564,50.16897259843975,49.14332179248198,103.19760031082564,109.02925201993756,1.2,2.0276315351550056,19.9326386052223,524.0622899956364,19.9326386052223,0.9222995655862523,18.38386392658429,0.9506172839506173,0.875,1.0,1056,0,0,{'qa': 48},specialist-adapter,cache_aware / standard_lora
low_overlap_control-cache_aware-activated_lora-seed11-1781443367720,48,cache_aware,activated_lora,low_overlap_control,68.80906155717521,68.42278232469106,72.23918347990696,73.30258348803063,102.60906155717521,102.56947339586782,118.24379815383972,121.36369200291949,1.2,3.961836386968935,9.745727958371258,274.5046708274571,9.745727958371258,0.9070162139699103,8.839533275182601,0.4782608695652174,0.042328042328042326,1.0,7964,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",activated-late-specialization,cache_aware / activated_lora
shared_doc_qa-oracle-base_shared-seed17-1781443479800,64,oracle,base_shared,shared_doc_qa,79.49727517534967,79.70443826729621,82.31842333057426,82.53250191067765,110.90352517534967,111.15833819306152,129.30364745606275,129.65672198602067,1.2,4.668472090410753,9.016845933606701,235.98776466861287,9.016845933606701,0.9199960996536627,8.295463090096154,0.0,0.0,0.49609375,508,1535,12036,{'qa': 64},multitask-or-shared-base,oracle / base_shared
agent_session-cache_aware-copy_on_write-seed11-1781443371303,48,cache_aware,copy_on_write,agent_session,21.30119895788533,20.727445943227533,23.239519108305117,51.40439651648438,55.50119895788532,54.66741742091187,72.1132098011467,95.34243404163028,1.2,2.0636852986197805,18.01762878598004,513.5024204004312,18.01762878598004,0.9230988193068884,16.63205185904798,0.9287833827893175,0.7854454203262233,1.0526315789473684,1440,0,0,"{'qa': 16, 'json': 16, 'summary': 16}",copy-on-write-delta,cache_aware / copy_on_write
mixed_tasks_same_doc-random-activated_lora-seed11-1781443307031,48,random,activated_lora,mixed_tasks_same_doc,17.64709213923134,15.670287441114876,19.851687810061723,74.45031549987367,52.922092139231346,51.1616780021735,68.895798677225,125.70211872200937,1.2,1.855097012527111,18.89570044527201,555.4548610058084,18.89570044527201,0.6265501974504485,11.839104844949706,0.9543292102759277,0.895165039516504,1.1899736147757256,902,0,0,"{'code': 12, 'multitask': 13, 'json': 9, 'qa': 10, 'summary': 4}",activated-late-specialization,random / activated_lora
low_overlap_control-multitask-activated_lora-seed11-1781443334954,48,multitask,activated_lora,low_overlap_control,69.02854497109192,69.03964175471205,71.51667762945138,74.30849860899524,102.40354497109193,104.25754307997943,122.46951585195319,123.11667762945137,1.2,4.058904655353127,9.76528693691508,271.59704293295067,9.76528693691508,0.8026429516283026,7.838038730542825,0.4782608695652174,0.042328042328042326,1.0,7964,0,0,{'multitask': 48},activated-late-specialization,multitask / activated_lora
low_overlap_control-semantic-copy_on_write-seed11-1781443324141,48,semantic,copy_on_write,low_overlap_control,68.80906155717521,68.42278232469106,72.23918347990696,73.30258348803063,102.60906155717521,102.56947339586782,118.24379815383972,121.36369200291949,1.2,3.961836386968935,9.745727958371258,274.5046708274571,9.745727958371258,0.9070162139699103,8.839533275182601,0.4782608695652174,0.042328042328042326,1.0131843294826721,8069,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",copy-on-write-delta,semantic / copy_on_write
mixed_tasks_same_doc-oracle-standard_lora-seed11-1781443616813,48,oracle,standard_lora,mixed_tasks_same_doc,19.175011004363736,14.614595739230676,74.04293861560183,74.69871414762004,52.35001100436373,48.26028318995137,110.04293861560183,125.05930385952871,1.2,1.9666606192326517,19.102192737201968,528.0960367138961,19.102192737201968,0.9098928913058059,17.380949379933465,0.9511698880976602,0.8693630869363087,1.3980099502487562,1124,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",specialist-adapter,oracle / standard_lora
agent_session-semantic-base_shared-seed11-1781443316756,48,semantic,base_shared,agent_session,21.30119895788533,20.727445943227533,23.239519108305117,51.40439651648438,55.50119895788532,54.66741742091187,72.1132098011467,95.34243404163028,1.2,2.0636852986197805,18.01762878598004,513.5024204004312,18.01762878598004,0.9230988193068884,16.63205185904798,0.9287833827893175,0.7854454203262233,1.0,1368,0,0,"{'qa': 16, 'json': 16, 'summary': 16}",multitask-or-shared-base,semantic / base_shared
mixed_tasks_same_doc-multitask-activated_lora-seed11-1781443551475,48,multitask,activated_lora,mixed_tasks_same_doc,16.37946683809188,14.380345788907654,19.399905708959885,72.81462898475985,47.40446683809188,43.94123601943422,68.38284766215504,117.6619101137011,1.2,1.9056316294575513,21.09505847656638,545.3951576962266,21.09505847656638,0.803763974983811,16.95544805364093,0.9550982226379794,0.9119014411901442,1.0,758,0,0,{'multitask': 48},activated-late-specialization,multitask / activated_lora
prompt_layout_ablation-multitask-copy_on_write-seed11-1781443441766,64,multitask,copy_on_write,prompt_layout_ablation,78.43819950448209,78.21024588184213,81.5348503073525,81.59864698249444,111.71944950448209,111.8313289024141,129.22795920407344,130.54608903548484,1.2,4.544572660165397,8.950992906207267,248.25019388309215,8.950992906207267,0.8154575615813464,7.299154849027707,0.0,0.0,0.0894638403990025,574,1534,11906,{'multitask': 64},copy-on-write-delta,multitask / copy_on_write
